date,followers,following,media,avg_likes,avg_comments
2024-11-01,21193,78,85,0.0,0.0
2024-10-31,21199,78,85,0.0,0.0
2024-10-30,21199,78,85,0.0,0.0
2024-10-29,21200,78,85,0.0,0.0
2024-10-28,21210,78,85,0.0,0.0
2024-10-27,21210,78,85,0.0,0.0
2024-10-26,21208,78,85,0.0,0.0
2024-10-25,21205,78,85,0.0,0.0
2024-10-24,21202,78,85,0.0,0.0
2024-10-23,21198,78,85,0.0,0.0
2024-10-22,21200,78,85,0.0,0.0
2024-10-21,21204,78,85,0.0,0.0
2024-10-20,21205,78,85,0.0,0.0
2024-10-19,21206,78,85,0.0,0.0
2024-10-18,21209,78,85,0.0,0.0
2024-10-17,21213,78,85,0.0,0.0
2024-10-16,21217,78,85,0.0,0.0
2024-10-15,21217,78,85,0.0,0.0
2024-10-14,21218,78,85,0.0,0.0
2024-10-13,21224,78,85,0.0,0.0
2024-10-12,21219,78,85,0.0,0.0
2024-10-11,21223,78,85,0.0,0.0
2024-10-10,21224,78,85,0.0,0.0
2024-10-09,21228,78,85,0.0,0.0
2024-10-08,21227,78,85,0.0,0.0
2024-10-07,21229,78,85,0.0,0.0
2024-10-06,21220,78,85,0.0,0.0
2024-10-05,21216,78,85,0.0,0.0
2024-10-04,21212,78,85,0.0,0.0
2024-10-03,21213,78,85,0.0,0.0
2024-10-02,21217,78,85,0.0,0.0
2024-10-01,21218,78,85,0.0,0.0
2024-09-30,21213,78,85,0.0,0.0
2024-09-29,21219,78,85,0.0,0.0
2024-09-28,21214,78,85,0.0,0.0
2024-09-27,21216,78,85,0.0,0.0
2024-09-26,21215,78,85,0.0,0.0
2024-09-25,21211,78,85,0.0,0.0
2024-09-24,21205,78,85,0.0,0.0
2024-09-23,21205,78,85,0.0,0.0
2024-09-22,21212,78,85,0.0,0.0
2024-09-21,21215,78,85,0.0,0.0
2024-09-20,21218,78,85,0.0,0.0
2024-09-19,21215,78,85,0.0,0.0
2024-09-18,21211,78,85,0.0,0.0
