,main_artist,main_artist_ig,main_artist_tt,main_artist_yt
462,Eric Church,ericchurchmusic,ericchurchmusic,@EricChurch
463,Forrest Frank,forrestfrank,forrestfrank,@ForrestFrank
464,PLUTO,,,
465,Hudson Westbrook,,,
466,Lorde,lordemusic,lordemusic,@Lorde
467,Chuckyy,,,
468,Mariah The Scientist,mariahthescientist,mariahthescientist,@MariahTheScientist
469,Maroon 5,maroon5,maroon5,@Maroon5
470,KATSEYE,katseyeofficial,katseyeofficial,
471,wifiskeleton,wifiskeleton,,
472,MOLIY,moliyofficial,moliy,@MoliyMusic
473,Max McNown,maxmcnown,maxmcnown,@MaxMcNown
474,Mariah Carey,mariahcarey,mariahcarey,@MariahCarey
475,ATEEZ,ateez_official_,ateez_official_,@ATEEZofficial
476,Josh Ross,joshrossmusic,joshrossmusic,@JoshRossMusic
477,Saja Boys,,,
478,HUNTR/X,,,
479,Rumi,,,
480,BabyChiefDoit,,,
481,G Herbo,nolimitherbo,gherbo,@gherbo
482,JEONGYEON,twicetagram,twice_tiktok_official,@TWICE
483,Disco Lines,discolines,discolines,@DiscoLines
484,Clipse,clipseofficial,,@OfficialClipse
485,Ozzy Osbourne,ozzyosbourne,ozzyosbourne,@OzzyOsbourne
486,Dareyes de La Sierra,dareyesdelasierraoficial,,@DareyesdelaSierraOficial
487,Mariah the Scientist,mariahthescientist,mariahthescientist,@MariahTheScientist
488,Pierce the Veil,piercetheveil,piercetheveil,@PierceTheVeilBand
