,main_artist,main_artist_ig,main_artist_tt,main_artist_yt
123,Lady Gaga,ladygaga,ladygaga,@LadyGaga
124,Nate Smith,natesmith,natesmithmusic,@natesmithmusic
125,Post Malone,postmalone,postmalone,@postmalone
126,Quavo,quavohuncho,quavohuncho,@quavohuncho5077
127,Ella Mai,ellamai,ellamai,@ellamai
128,Kanye West,kanyewest,,@KanyeWest
129,SleazyWorld Go,sleazyworld_go,sleazyyworld_go,@sleazyworld_go
130,Moneybagg Yo,moneybaggyo,moneybaggyo,@MoneyBaggYoOfficial
131,Sleepy Hallow,thesleepyhallow,sleepyhallowx3,@SleepyHallow
132,Calvin Harris,calvinharris,calvinharris,@CalvinHarris
133,Nicky Youre,nickyyoure,nickyyoure,@NickyYoure
134,Hitkidd,hitkidd,,@HitkiddWIDM
135,Keith Urban,keithurban,keithurban,@KeithUrban
136,Jon Pardi,jonpardi,jonpardi,@JonPardi
137,Tim McGraw,thetimmcgraw,timmcgraw,@timmcgraw
138,Stephen Sanchez,stephensanchezofficial,stephensanchezofficial,@stephensanchezofficial
139,Polo G,polo.capalot,pologofficial,@polog
140,Doja Cat,dojacat,dojacat,@dojacat
141,Shakira,shakira,shakira,@Shakira
142,Joji,sushitrash,joji,@joji
143,BTS,bts.bighitofficial,bts_official_bighit,@BTS
144,Pharrell Williams,pharrell,pharrell,@Pharrell
145,Halsey,iamhalsey,halsey,@halsey
146,OneRepublic,onerepublic,onerepublic,@OneRepublic
147,Tyler Hubbard,tylerhubbard,tylerhubbard,@TylerHubbardOfficial
148,Dylan Scott,dylanscottcountry,dylanscottcountry,@DylanScottCountry
149,Drake,champagnepapi,,@DrakeOfficial
150,Beyonce,beyonce,beyonce,@beyonce
151,Corey Kent,coreykent,coreykent,@CoreyKentofficial
152,Lil Nas X,lilnasx,lilnasx,@lilnasx
153,Eminem,eminem,eminem,@eminem
154,Cardi B,iamcardib,iamcardib,@cardib
155,Metallica,metallica,metallica,@metallica
156,Jelly Roll,jellyroll615,officialjellyroll,@JellyRoll
157,City Girls,citygirls,citygirls,@CityGirls
158,Ingrid Andress,ingridandress,ingridandress,@IngridAndress
159,Luke Bryan,lukebryan,lukebryan,@lukebryan
160,j-hope,uarmyhope,iamurhope,
161,Marshmello,marshmello,marshmello,@marshmello
162,Jake Owen,jakeowenofficial,jakeowen,@jakeowen
163,Sia,siamusic,sia,@sia
164,Steve Lacy,steve.lacy,steve.lacy,@stevelacy119
165,Brent Faiyaz,brentfaiyaz,brentfaiyaz,@thebrentfaiyaz
166,Yung Gravy,yunggravy,yunggravy,@yunggravy
167,Burna Boy,burnaboygram,burnaboyofficial,@BurnaBoy
168,Mitchell Tenpenny,m10penny,m10penny,@m10penny
169,Tems,temsbaby,temsbaby,@temsbaby
170,Chris Young,chrisyoungmusic,chrisyoungmusic,@ChrisYoung
171,Gabby Barrett,gabbybarrett_,gabbybarrettofficial,@gabbybarrett
172,Billie Eilish,billieeilish,billieeilish,@BillieEilish
173,John Rich,johnrichofficial,officialjohnrich_,@johnrichmusic
174,Justin Moore,justincolemoore,justinmoore,@justinmoore
175,Mac Miller,macmiller,,@macmiller
176,Bizarrap,bizarrap,bizarrap,@Bizarrap
177,NAV,nav,nav,@NAV
178,Jax,jax,jaxwritessongs,@jaxwritessongs
179,Nardo Wick,nardowick,nardowick,@NardoWick
180,DJ Khaled,djkhaled,djkhaled,@DJKhaledOfficial
181,benny blanco,itsbennyblanco,itsbennyblanco,@bennyblanco
182,Trippie Redd,trippieredd,trippieatplay,@trippieredd5093
183,Rosalia,rosalia.vt,rosalia,@rosalia
184,Jordan Davis,jordandavisofficial,jordandavismusic,@jordandavisofficial
185,BLACKPINK,blackpinkofficial,bp_tiktok,@BLACKPINK
186,Offset,offsetyrn,offsetyrn,@OFFSETYRN
187,Jackson Dean,thejacksondean,thejacksondean,@TheJacksonDean
188,Thomas Rhett,thomasrhettakins,thomasrhett,@thomasrhettmusic
189,Demi Lovato,ddlovato,ddlovato,@demilovato
190,Rosa Linn,rosalinnmusic,rosalinnmusic,@rosalinn
191,Lee Brice,leebrice,leebrice,@LeeBriceMusic
192,Manuel Turizo,manuelturizo,manuelturizoz,@ManuelTurizoMTZ
193,Elton John,eltonjohn,eltonjohn,@EltonJohn
194,JVKE,itsjvke,jvke,@JVKE
195,David Guetta,davidguetta,davidguetta,@davidguetta
196,d4vd,d4vddd,d4vdd,@d4vd
197,Rema,heisrema,badboyrema,@heisrema
198,Armani White,armaniblanco,armaniblanco,@ArmaniWhite
199,Romeo Santos,romeosantos,romeosantos,@romeo
200,Ghost,thebandghost,thebandghost,@thebandGhost
201,Omar Apollo,omar.apollo,omar.apollo,@OmarApollo
202,Little Big Town,littlebigtown,littlebigtown,@littlebigtown
203,EST Gee,est.gee,est.gee,@ESTGee
204,GloRilla,glorillapimp,glorilla03,@theofficialGloRilla
205,Zac Brown Band,zacbrownband,zacbrownband,@zacbrownband
206,AJR,ajrbrothers,ajrbrothers,@ajr
207,Grupo Frontera,grupofrontera,grupofrontera,@GrupoFronteraOficial
208,Jimmie Allen,jimmieallen,jimmieallenmusic,@jimmieallen
209,Megan Moroney,megmoroney,megmoroney,@meganmoroney
210,Diddy,diddy,diddy,@diddy
211,Lewis Capaldi,lewiscapaldi,lewiscapaldi,@LewisCapaldi
212,Lil Yachty,lilyachty,lilyachty,@lilyachty
213,Blink-182,blink182,blink182,@blink182
214,Lil Uzi Vert,liluzivert,liluzivert,@LILUZIVERT
215,Meghan Trainor,meghantrainor,meghantrainor,@MeghanTrainor
216,Oliver Tree,olivertree,olivertree,@OliverTree
217,Rihanna,badgalriri,rihanna,@rihanna
218,SZA,sza,sza,@sza
219,Jin,jin,,
220,21 Savage,21savage,21savage,@21savage
