,title,song_id,main_artist
150,Nobody Like U,Nobody Like U — 4*TOWN (From Disney And Pixar's Turning Red),4*TOWN (From Disney And Pixar's Turning Red)
151,Sometimes,Sometimes — Juice WRLD,Juice WRLD
152,Computer Murderers,Computer Murderers — Lil Durk,Lil Durk
153,Ghost Story,Ghost Story — Carrie Underwood,Carrie Underwood
154,Tom's Diner,Tom's Diner — AnnenMayKantereit & Giant Rooks,AnnenMayKantereit
155,Maybe,Maybe — Machine Gun Kelly & Bring Me The Horizon,Machine Gun Kelly
156,Over,Over — Lucky Daye,Lucky Daye
157,Money So Big,Money So Big — Yeat,Yeat
158,She Likes It,She Likes It — Russell Dickerson & Jake Scott,Russell Dickerson
159,IDGAF,IDGAF — BoyWithUke X blackbear,BoyWithUke
160,Soy El Unico,Soy El Unico — Yahritza y Su Esencia,Yahritza Y Su Esencia
161,We Go Up,We Go Up — Nicki Minaj & Fivio Foreign,Nicki Minaj
162,Make Up Sex,Make Up Sex — Machine Gun Kelly X blackbear,Machine Gun Kelly
163,X Ultima Vez,X Ultima Vez — Daddy Yankee & Bad Bunny,Daddy Yankee
164,Envolver,Envolver — Anitta,Anitta
165,Chaotic,Chaotic — Tate McRae,Tate McRae
166,Sigue,Sigue — J Balvin & Ed Sheeran,J Balvin
167,As It Was,As It Was — Harry Styles,Harry Styles
168,In My Head,In My Head — Lil Tjay,Lil Tjay
169,When You're Gone,When You're Gone — Shawn Mendes,Shawn Mendes
170,Stick,Stick — JID & J. Cole Featuring Kenny Mason & Sheck Wes,JID
171,Damn Strait,Damn Strait — Scotty McCreery,Scotty McCreery
172,Take My Name,Take My Name — Parmalee,Parmalee
173,Complete Mess,Complete Mess — 5 Seconds Of Summer,5 Seconds Of Summer
174,4KT Baby,4KT Baby — YoungBoy Never Broke Again,YoungBoy Never Broke Again
175,Blood All On It,Blood All On It — Gucci Mane Featuring Key Glock & Young Dolph,Gucci Mane
176,Desesperados,Desesperados — Rauw Alejandro & Chencho Corleone,Rauw Alejandro
177,First Class,First Class — Jack Harlow,Jack Harlow
178,Right On,Right On — Lil Baby,Lil Baby
179,In A Minute,In A Minute — Lil Baby,Lil Baby
180,London,London — BIA Featuring J. Cole,BIA
181,Psychofreak,Psychofreak — Camila Cabello Featuring WILLOW,Camila Cabello
182,Thump Shit,Thump Shit — 42 Dugg & EST Gee,42 Dugg
183,Treat Me,Treat Me — Chloe,Chloe
184,Neck & Wrist,Neck & Wrist — Pusha T Featuring JAY-Z & Pharrell Williams,Pusha T
185,Praise The Lord,Praise The Lord — BRELAND Featuring Thomas Rhett,BRELAND
186,Don't Think Jesus,Don't Think Jesus — Morgan Wallen,Morgan Wallen
187,About Damn Time,About Damn Time — Lizzo,Lizzo
188,Shake It,"Shake It — Kay Flock, Cardi B, Dougie B & Bory300",Kay Flock
189,Flowers,Flowers — Lauren Spencer-Smith,Lauren Spencer-Smith
190,GINE,GINE — 6ix9ine,6ix9ine
191,Leave You Alone,Leave You Alone — Kane Brown,Kane Brown
192,Fall In Love,Fall In Love — Bailey Zimmerman,Bailey Zimmerman
193,Thousand Miles,Thousand Miles — The Kid LAROI,The Kid LAROI
194,Plan B,Plan B — Megan Thee Stallion,Megan Thee Stallion
195,Provenza,Provenza — Karol G,Karol G
196,2step,2step — Ed Sheeran Featuring Lil Baby,Ed Sheeran
197,Something In The Orange,Something In The Orange — Zach Bryan,Zach Bryan
198,Hold That Heat,"Hold That Heat — Southside, Travis Scott & Future",Southside
199,Scrape It Off,Scrape It Off — Pusha T Featuring Lil Uzi Vert & Don Toliver,Pusha T
200,Tomorrow Me,Tomorrow Me — Luke Combs,Luke Combs
201,Rock N Roll,Rock N Roll — Pusha T Featuring Kanye West & Kid Cudi,Pusha T
202,Dreamin Of The Past,Dreamin Of The Past — Pusha T Featuring Kanye West,Pusha T
203,Brambleton,Brambleton — Pusha T,Pusha T
204,Wait For U,Wait For U — Future Featuring Drake & Tems,Future
205,Puffin On Zootiez,Puffin On Zootiez — Future,Future
206,712PM,712PM — Future,Future
207,I'm Dat N***a,I'm Dat N***a — Future,Future
208,I'm On One,I'm On One — Future Featuring Drake,Future
209,Love You Better,Love You Better — Future,Future
210,Keep It Burnin,Keep It Burnin — Future Featuring Kanye West,Future
211,Massaging Me,Massaging Me — Future,Future
212,For A Nut,For A Nut — Future Featuring Gunna & Young Thug,Future
213,Chickens,Chickens — Future Featuring EST Gee,Future
214,Gold Stacks,Gold Stacks — Future,Future
