,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
60,2024-06-08,61,Dirt Cheap,Cody Johnson,70,61,6,Dirt Cheap — Cody Johnson,Cody Johnson
61,2024-06-08,62,The Diner,Billie Eilish,31,31,2,The Diner — Billie Eilish,Billie Eilish
62,2024-06-08,63,Si No Quieres No,Luis R Conriquez x Neton Vega,72,63,4,Si No Quieres No — Luis R Conriquez x Neton Vega,Luis R Conriquez
63,2024-06-08,64,Guilty As Sin?,Taylor Swift,55,10,6,Guilty As Sin? — Taylor Swift,Taylor Swift
64,2024-06-08,65,But Daddy I Love Him,Taylor Swift,54,7,6,But Daddy I Love Him — Taylor Swift,Taylor Swift
65,2024-06-08,66,Obsessed,Olivia Rodrigo,68,14,10,Obsessed — Olivia Rodrigo,Olivia Rodrigo
67,2024-06-08,68,"So Long, London",Taylor Swift,57,5,6,"So Long, London — Taylor Swift",Taylor Swift
68,2024-06-08,69,We Ride,Bryan Martin,80,69,8,We Ride — Bryan Martin,Bryan Martin
69,2024-06-08,70,Scared To Start,Michael Marcagi,73,54,15,Scared To Start — Michael Marcagi,Michael Marcagi
70,2024-06-08,71,My Boy Only Breaks His Favorite Toys,Taylor Swift,58,6,6,My Boy Only Breaks His Favorite Toys — Taylor Swift,Taylor Swift
71,2024-06-08,72,Si No Es Contigo,Cris Mj,-,72,1,Si No Es Contigo — Cris Mj,Cris Mj
72,2024-06-08,73,Bittersuite,Billie Eilish,36,36,2,Bittersuite — Billie Eilish,Billie Eilish
73,2024-06-08,74,Enough (Miami),Cardi B,76,9,11,Enough (Miami) — Cardi B,Cardi B
74,2024-06-08,75,Illusion,Dua Lipa,78,43,7,Illusion — Dua Lipa,Dua Lipa
76,2024-06-08,77,Florida!!!,Taylor Swift Featuring Florence + The Machine,64,8,6,Florida!!! — Taylor Swift Featuring Florence + The Machine,Taylor Swift
77,2024-06-08,78,Wind Up Missin' You,Tucker Wetmore,93,75,9,Wind Up Missin' You — Tucker Wetmore,Tucker Wetmore
78,2024-06-08,79,The Smallest Man Who Ever Lived,Taylor Swift,65,14,6,The Smallest Man Who Ever Lived — Taylor Swift,Taylor Swift
79,2024-06-08,80,The Tortured Poets Department,Taylor Swift,66,4,6,The Tortured Poets Department — Taylor Swift,Taylor Swift
80,2024-06-08,81,Hell N Back,Bakar Featuring Summer Walker,86,53,8,Hell N Back — Bakar Featuring Summer Walker,Bakar
81,2024-06-08,82,Belong Together,Mark Ambor,90,82,5,Belong Together — Mark Ambor,Mark Ambor
82,2024-06-08,83,The Craving,Twenty One Pilots,-,83,1,The Craving — Twenty One Pilots,Twenty One Pilots
83,2024-06-08,84,After Hours,Kehlani,-,84,1,After Hours — Kehlani,Kehlani
84,2024-06-08,85,Take Her Home,Kenny Chesney,92,85,3,Take Her Home — Kenny Chesney,Kenny Chesney
85,2024-06-08,86,Back Then Right Now,Tyler Hubbard,77,62,11,Back Then Right Now — Tyler Hubbard,Tyler Hubbard
86,2024-06-08,87,Wondering Why,The Red Clay Strays,99,71,11,Wondering Why — The Red Clay Strays,The Red Clay Strays
87,2024-06-08,88,Tucson Too Late,Jordan Davis,87,71,13,Tucson Too Late — Jordan Davis,Jordan Davis
88,2024-06-08,89,Bandit,Don Toliver,89,38,16,Bandit — Don Toliver,Don Toliver
89,2024-06-08,90,Wine Into Whiskey,Tucker Wetmore,97,77,10,Wine Into Whiskey — Tucker Wetmore,Tucker Wetmore
90,2024-06-08,91,Push Ups,Drake,74,17,6,Push Ups — Drake,Drake
91,2024-06-08,92,loml,Taylor Swift,81,12,6,loml — Taylor Swift,Taylor Swift
92,2024-06-08,93,Meet The Grahams,Kendrick Lamar,67,12,4,Meet The Grahams — Kendrick Lamar,Kendrick Lamar
