,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
78,2024-05-25,79,Enough (Miami),Cardi B,75,9,9,Enough (Miami) — Cardi B,Cardi B
79,2024-05-25,80,The Black Dog,Taylor Swift,67,25,4,The Black Dog — Taylor Swift,Taylor Swift
80,2024-05-25,81,Tucson Too Late,Jordan Davis,71,71,11,Tucson Too Late — Jordan Davis,Jordan Davis
81,2024-05-25,82,Hell N Back,Bakar Featuring Summer Walker,69,53,6,Hell N Back — Bakar Featuring Summer Walker,Bakar
82,2024-05-25,83,Clara Bow,Taylor Swift,70,21,4,Clara Bow — Taylor Swift,Taylor Swift
83,2024-05-25,84,Belong Together,Mark Ambor,84,84,3,Belong Together — Mark Ambor,Mark Ambor
84,2024-05-25,85,Wind Up Missin' You,Tucker Wetmore,80,75,7,Wind Up Missin' You — Tucker Wetmore,Tucker Wetmore
85,2024-05-25,86,Bandit,Don Toliver,72,38,14,Bandit — Don Toliver,Don Toliver
86,2024-05-25,87,Si No Quieres No,Luis R Conriquez x Neton Vega,86,86,2,Si No Quieres No — Luis R Conriquez x Neton Vega,Luis R Conriquez
87,2024-05-25,88,We Ride,Bryan Martin,82,82,6,We Ride — Bryan Martin,Bryan Martin
88,2024-05-25,89,Dirt Cheap,Cody Johnson,83,83,4,Dirt Cheap — Cody Johnson,Cody Johnson
89,2024-05-25,90,Lose My Breath,Stray Kids Featuring Charlie Puth,-,90,1,Lose My Breath — Stray Kids Featuring Charlie Puth,Stray Kids
90,2024-05-25,91,Tell Ur Girlfriend,Lay Bankz,66,58,5,Tell Ur Girlfriend — Lay Bankz,Lay Bankz
91,2024-05-25,92,Spin You Around (1/24),Morgan Wallen,96,24,16,Spin You Around (1/24) — Morgan Wallen,Morgan Wallen
92,2024-05-25,93,The Prophecy,Taylor Swift,77,32,4,The Prophecy — Taylor Swift,Taylor Swift
93,2024-05-25,94,Back In The A,Gunna,-,94,1,Back In The A — Gunna,Gunna
94,2024-05-25,95,Outskirts,Sam Hunt,85,66,10,Outskirts — Sam Hunt,Sam Hunt
95,2024-05-25,96,23,Chayce Beckham,90,45,20,23 — Chayce Beckham,Chayce Beckham
96,2024-05-25,97,Wine Into Whiskey,Tucker Wetmore,92,77,8,Wine Into Whiskey — Tucker Wetmore,Tucker Wetmore
97,2024-05-25,98,How Did It End?,Taylor Swift,81,35,4,How Did It End? — Taylor Swift,Taylor Swift
98,2024-05-25,99,Cinderella,"Future, Metro Boomin & Travis Scott",78,6,8,"Cinderella — Future, Metro Boomin & Travis Scott",Future
0,2024-06-01,1,I Had Some Help,Post Malone Featuring Morgan Wallen,1,1,2,I Had Some Help — Post Malone Featuring Morgan Wallen,Post Malone
1,2024-06-01,2,Not Like Us,Kendrick Lamar,2,1,3,Not Like Us — Kendrick Lamar,Kendrick Lamar
2,2024-06-01,3,Million Dollar Baby,Tommy Richman,3,2,4,Million Dollar Baby — Tommy Richman,Tommy Richman
3,2024-06-01,4,A Bar Song (Tipsy),Shaboozey,4,3,6,A Bar Song (Tipsy) — Shaboozey,Shaboozey
4,2024-06-01,5,Lunch,Billie Eilish,-,5,1,Lunch — Billie Eilish,Billie Eilish
5,2024-06-01,6,Espresso,Sabrina Carpenter,9,4,6,Espresso — Sabrina Carpenter,Sabrina Carpenter
6,2024-06-01,7,Lose Control,Teddy Swims,6,1,41,Lose Control — Teddy Swims,Teddy Swims
7,2024-06-01,8,Beautiful Things,Benson Boone,5,2,18,Beautiful Things — Benson Boone,Benson Boone
8,2024-06-01,9,Too Sweet,Hozier,10,1,9,Too Sweet — Hozier,Hozier
9,2024-06-01,10,Fortnight,Taylor Swift Featuring Post Malone,8,1,5,Fortnight — Taylor Swift Featuring Post Malone,Taylor Swift
10,2024-06-01,11,Like That,"Future, Metro Boomin & Kendrick Lamar",7,1,9,"Like That — Future, Metro Boomin & Kendrick Lamar",Future
11,2024-06-01,12,Chihiro,Billie Eilish,-,12,1,Chihiro — Billie Eilish,Billie Eilish
12,2024-06-01,13,Birds Of A Feather,Billie Eilish,-,13,1,Birds Of A Feather — Billie Eilish,Billie Eilish
13,2024-06-01,14,Saturn,SZA,12,6,13,Saturn — SZA,SZA
14,2024-06-01,15,We Can't Be Friends (Wait For Your Love),Ariana Grande,13,1,11,We Can't Be Friends (Wait For Your Love) — Ariana Grande,Ariana Grande
15,2024-06-01,16,Euphoria,Kendrick Lamar,11,3,4,Euphoria — Kendrick Lamar,Kendrick Lamar
16,2024-06-01,17,Wildflower,Billie Eilish,-,17,1,Wildflower — Billie Eilish,Billie Eilish
17,2024-06-01,18,Skinny,Billie Eilish,-,18,1,Skinny — Billie Eilish,Billie Eilish
18,2024-06-01,19,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,18,1,39,I Remember Everything — Zach Bryan Featuring Kacey Musgraves,Zach Bryan
19,2024-06-01,20,Stick Season,Noah Kahan,15,9,34,Stick Season — Noah Kahan,Noah Kahan
20,2024-06-01,21,Lovin On Me,Jack Harlow,17,1,28,Lovin On Me — Jack Harlow,Jack Harlow
21,2024-06-01,22,L'amour De Ma Vie,Billie Eilish,-,22,1,L'amour De Ma Vie — Billie Eilish,Billie Eilish
22,2024-06-01,23,Ain't No Love In Oklahoma,Luke Combs,-,23,1,Ain't No Love In Oklahoma — Luke Combs,Luke Combs
23,2024-06-01,24,The Greatest,Billie Eilish,-,24,1,The Greatest — Billie Eilish,Billie Eilish
24,2024-06-01,25,Blue,Billie Eilish,-,25,1,Blue — Billie Eilish,Billie Eilish
25,2024-06-01,26,I Can Do It With A Broken Heart,Taylor Swift,14,3,5,I Can Do It With A Broken Heart — Taylor Swift,Taylor Swift
26,2024-06-01,27,Cowgirls,Morgan Wallen Featuring ERNEST,31,27,23,Cowgirls — Morgan Wallen Featuring ERNEST,Morgan Wallen
27,2024-06-01,28,Feather,Sabrina Carpenter,22,21,25,Feather — Sabrina Carpenter,Sabrina Carpenter
28,2024-06-01,29,Miles On It,Marshmello & Kane Brown,24,24,3,Miles On It — Marshmello & Kane Brown,Marshmello
29,2024-06-01,30,Down Bad,Taylor Swift,16,2,5,Down Bad — Taylor Swift,Taylor Swift
30,2024-06-01,31,The Diner,Billie Eilish,-,31,1,The Diner — Billie Eilish,Billie Eilish
31,2024-06-01,32,Get It Sexyy,Sexyy Red,25,20,10,Get It Sexyy — Sexyy Red,Sexyy Red
32,2024-06-01,33,Yeah Glo!,GloRilla,28,28,15,Yeah Glo! — GloRilla,GloRilla
33,2024-06-01,34,Austin,Dasha,29,28,11,Austin — Dasha,Dasha
34,2024-06-01,35,Where It Ends,Bailey Zimmerman,37,32,21,Where It Ends — Bailey Zimmerman,Bailey Zimmerman
35,2024-06-01,36,Bittersuite,Billie Eilish,-,36,1,Bittersuite — Billie Eilish,Billie Eilish
36,2024-06-01,37,One Of Wun,Gunna,26,26,2,One Of Wun — Gunna,Gunna
37,2024-06-01,38,Greedy,Tate McRae,32,3,36,Greedy — Tate McRae,Tate McRae
38,2024-06-01,39,I Like The Way You Kiss Me,Artemas,27,12,9,I Like The Way You Kiss Me — Artemas,Artemas
39,2024-06-01,40,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",33,2,9,"Type Shit — Future, Metro Boomin, Travis Scott & Playboi Carti",Future
40,2024-06-01,41,End Of Beginning,Djo,40,11,14,End Of Beginning — Djo,Djo
41,2024-06-01,42,Agora Hills,Doja Cat,35,7,35,Agora Hills — Doja Cat,Doja Cat
42,2024-06-01,43,"Good Luck, Babe!",Chappell Roan,44,43,7,"Good Luck, Babe! — Chappell Roan",Chappell Roan
43,2024-06-01,44,Bulletproof,Nate Smith,57,44,7,Bulletproof — Nate Smith,Nate Smith
44,2024-06-01,45,Who's Afraid Of Little Old Me?,Taylor Swift,21,9,5,Who's Afraid Of Little Old Me? — Taylor Swift,Taylor Swift
45,2024-06-01,46,Gata Only,FloyyMenor X Cris Mj,43,27,10,Gata Only — FloyyMenor X Cris Mj,FloyyMenor
46,2024-06-01,47,Sweet Dreams,Koe Wetzel,-,47,1,Sweet Dreams — Koe Wetzel,Koe Wetzel
47,2024-06-01,48,Family Matters,Drake,19,7,3,Family Matters — Drake,Drake
48,2024-06-01,49,Whatever She Wants,Bryson Tiller,46,19,14,Whatever She Wants — Bryson Tiller,Bryson Tiller
49,2024-06-01,50,Wanna Be,GloRilla & Megan Thee Stallion,47,11,7,Wanna Be — GloRilla & Megan Thee Stallion,GloRilla
50,2024-06-01,51,Slow It Down,Benson Boone,50,40,9,Slow It Down — Benson Boone,Benson Boone
51,2024-06-01,52,Texas Hold 'Em,Beyonce,49,1,15,Texas Hold 'Em — Beyonce,Beyonce
52,2024-06-01,53,Redrum,21 Savage,51,5,19,Redrum — 21 Savage,21 Savage
53,2024-06-01,54,But Daddy I Love Him,Taylor Swift,30,7,5,But Daddy I Love Him — Taylor Swift,Taylor Swift
54,2024-06-01,55,Guilty As Sin?,Taylor Swift,38,10,5,Guilty As Sin? — Taylor Swift,Taylor Swift
55,2024-06-01,56,Wild Ones,Jessie Murph & Jelly Roll,56,35,33,Wild Ones — Jessie Murph & Jelly Roll,Jessie Murph
56,2024-06-01,57,"So Long, London",Taylor Swift,34,5,5,"So Long, London — Taylor Swift",Taylor Swift
57,2024-06-01,58,My Boy Only Breaks His Favorite Toys,Taylor Swift,36,6,5,My Boy Only Breaks His Favorite Toys — Taylor Swift,Taylor Swift
59,2024-06-01,60,Halfway To Hell,Jelly Roll,68,60,7,Halfway To Hell — Jelly Roll,Jelly Roll
60,2024-06-01,61,Made For Me,Muni Long,64,20,19,Made For Me — Muni Long,Muni Long
61,2024-06-01,62,FE!N,Travis Scott Featuring Playboi Carti,59,5,29,FE!N — Travis Scott Featuring Playboi Carti,Travis Scott
63,2024-06-01,64,Florida!!!,Taylor Swift Featuring Florence + The Machine,41,8,5,Florida!!! — Taylor Swift Featuring Florence + The Machine,Taylor Swift
64,2024-06-01,65,The Smallest Man Who Ever Lived,Taylor Swift,42,14,5,The Smallest Man Who Ever Lived — Taylor Swift,Taylor Swift
65,2024-06-01,66,The Tortured Poets Department,Taylor Swift,45,4,5,The Tortured Poets Department — Taylor Swift,Taylor Swift
66,2024-06-01,67,Meet The Grahams,Kendrick Lamar,23,12,3,Meet The Grahams — Kendrick Lamar,Kendrick Lamar
67,2024-06-01,68,Obsessed,Olivia Rodrigo,65,14,9,Obsessed — Olivia Rodrigo,Olivia Rodrigo
69,2024-06-01,70,Dirt Cheap,Cody Johnson,89,70,5,Dirt Cheap — Cody Johnson,Cody Johnson
70,2024-06-01,71,On One Tonight,Gunna,54,54,2,On One Tonight — Gunna,Gunna
71,2024-06-01,72,Si No Quieres No,Luis R Conriquez x Neton Vega,87,72,3,Si No Quieres No — Luis R Conriquez x Neton Vega,Luis R Conriquez
72,2024-06-01,73,Scared To Start,Michael Marcagi,73,54,14,Scared To Start — Michael Marcagi,Michael Marcagi
73,2024-06-01,74,Push Ups,Drake,48,17,5,Push Ups — Drake,Drake
75,2024-06-01,76,Enough (Miami),Cardi B,79,9,10,Enough (Miami) — Cardi B,Cardi B
76,2024-06-01,77,Back Then Right Now,Tyler Hubbard,71,62,10,Back Then Right Now — Tyler Hubbard,Tyler Hubbard
77,2024-06-01,78,Illusion,Dua Lipa,70,43,6,Illusion — Dua Lipa,Dua Lipa
78,2024-06-01,79,Stargazing,Myles Smith,77,77,2,Stargazing — Myles Smith,Myles Smith
79,2024-06-01,80,We Ride,Bryan Martin,88,80,7,We Ride — Bryan Martin,Bryan Martin
80,2024-06-01,81,loml,Taylor Swift,55,12,5,loml — Taylor Swift,Taylor Swift
81,2024-06-01,82,The Alchemy,Taylor Swift,58,13,5,The Alchemy — Taylor Swift,Taylor Swift
82,2024-06-01,83,So High School,Taylor Swift,61,24,5,So High School — Taylor Swift,Taylor Swift
83,2024-06-01,84,Fresh Out The Slammer,Taylor Swift,63,11,5,Fresh Out The Slammer — Taylor Swift,Taylor Swift
84,2024-06-01,85,Prada Dem,Gunna Featuring Offset,60,54,3,Prada Dem — Gunna Featuring Offset,Gunna
85,2024-06-01,86,Hell N Back,Bakar Featuring Summer Walker,82,53,7,Hell N Back — Bakar Featuring Summer Walker,Bakar
86,2024-06-01,87,Tucson Too Late,Jordan Davis,81,71,12,Tucson Too Late — Jordan Davis,Jordan Davis
87,2024-06-01,88,Spin You Around (1/24),Morgan Wallen,92,24,17,Spin You Around (1/24) — Morgan Wallen,Morgan Wallen
88,2024-06-01,89,Bandit,Don Toliver,86,38,15,Bandit — Don Toliver,Don Toliver
89,2024-06-01,90,Belong Together,Mark Ambor,84,84,4,Belong Together — Mark Ambor,Mark Ambor
90,2024-06-01,91,Boa,Megan Thee Stallion,39,39,2,Boa — Megan Thee Stallion,Megan Thee Stallion
91,2024-06-01,92,Take Her Home,Kenny Chesney,-,92,2,Take Her Home — Kenny Chesney,Kenny Chesney
92,2024-06-01,93,Wind Up Missin' You,Tucker Wetmore,85,75,8,Wind Up Missin' You — Tucker Wetmore,Tucker Wetmore
93,2024-06-01,94,imgonnagetyouback,Taylor Swift,72,26,5,imgonnagetyouback — Taylor Swift,Taylor Swift
94,2024-06-01,95,Tell Ur Girlfriend,Lay Bankz,91,58,6,Tell Ur Girlfriend — Lay Bankz,Lay Bankz
95,2024-06-01,96,Outskirts,Sam Hunt,95,66,11,Outskirts — Sam Hunt,Sam Hunt
96,2024-06-01,97,Wine Into Whiskey,Tucker Wetmore,97,77,9,Wine Into Whiskey — Tucker Wetmore,Tucker Wetmore
97,2024-06-01,98,Heat Stick,Shoreline Mafia Presents OhGeesy & Fenix Flexin,-,98,1,Heat Stick — Shoreline Mafia Presents OhGeesy & Fenix Flexin,Shoreline Mafia
98,2024-06-01,99,Wondering Why,The Red Clay Strays,-,71,10,Wondering Why — The Red Clay Strays,The Red Clay Strays
99,2024-06-01,100,I Can Fix Him (No Really I Can),Taylor Swift,74,20,5,I Can Fix Him (No Really I Can) — Taylor Swift,Taylor Swift
0,2024-06-08,1,I Had Some Help,Post Malone Featuring Morgan Wallen,1,1,3,I Had Some Help — Post Malone Featuring Morgan Wallen,Post Malone
1,2024-06-08,2,Not Like Us,Kendrick Lamar,2,1,4,Not Like Us — Kendrick Lamar,Kendrick Lamar
2,2024-06-08,3,Million Dollar Baby,Tommy Richman,3,2,5,Million Dollar Baby — Tommy Richman,Tommy Richman
3,2024-06-08,4,A Bar Song (Tipsy),Shaboozey,4,3,7,A Bar Song (Tipsy) — Shaboozey,Shaboozey
4,2024-06-08,5,Espresso,Sabrina Carpenter,6,4,7,Espresso — Sabrina Carpenter,Sabrina Carpenter
5,2024-06-08,6,Pink Skies,Zach Bryan,-,6,1,Pink Skies — Zach Bryan,Zach Bryan
6,2024-06-08,7,Lose Control,Teddy Swims,7,1,42,Lose Control — Teddy Swims,Teddy Swims
7,2024-06-08,8,Too Sweet,Hozier,9,1,10,Too Sweet — Hozier,Hozier
8,2024-06-08,9,Beautiful Things,Benson Boone,8,2,19,Beautiful Things — Benson Boone,Benson Boone
9,2024-06-08,10,Lunch,Billie Eilish,5,5,2,Lunch — Billie Eilish,Billie Eilish
10,2024-06-08,11,Fortnight,Taylor Swift Featuring Post Malone,10,1,6,Fortnight — Taylor Swift Featuring Post Malone,Taylor Swift
11,2024-06-08,12,Birds Of A Feather,Billie Eilish,13,12,2,Birds Of A Feather — Billie Eilish,Billie Eilish
12,2024-06-08,13,Like That,"Future, Metro Boomin & Kendrick Lamar",11,1,10,"Like That — Future, Metro Boomin & Kendrick Lamar",Future
13,2024-06-08,14,Saturn,SZA,14,6,14,Saturn — SZA,SZA
14,2024-06-08,15,We Can't Be Friends (Wait For Your Love),Ariana Grande,15,1,12,We Can't Be Friends (Wait For Your Love) — Ariana Grande,Ariana Grande
15,2024-06-08,16,Chihiro,Billie Eilish,12,12,2,Chihiro — Billie Eilish,Billie Eilish
16,2024-06-08,17,Stick Season,Noah Kahan,20,9,35,Stick Season — Noah Kahan,Noah Kahan
17,2024-06-08,18,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,19,1,40,I Remember Everything — Zach Bryan Featuring Kacey Musgraves,Zach Bryan
18,2024-06-08,19,Lovin On Me,Jack Harlow,21,1,29,Lovin On Me — Jack Harlow,Jack Harlow
19,2024-06-08,20,Cowgirls,Morgan Wallen Featuring ERNEST,27,20,24,Cowgirls — Morgan Wallen Featuring ERNEST,Morgan Wallen
20,2024-06-08,21,Miles On It,Marshmello & Kane Brown,29,21,4,Miles On It — Marshmello & Kane Brown,Marshmello
21,2024-06-08,22,BAND4BAND,Central Cee & Lil Baby,-,22,1,BAND4BAND — Central Cee & Lil Baby,Central Cee
22,2024-06-08,23,Euphoria,Kendrick Lamar,16,3,5,Euphoria — Kendrick Lamar,Kendrick Lamar
23,2024-06-08,24,Get It Sexyy,Sexyy Red,32,20,11,Get It Sexyy — Sexyy Red,Sexyy Red
24,2024-06-08,25,Austin,Dasha,34,25,12,Austin — Dasha,Dasha
25,2024-06-08,26,Feather,Sabrina Carpenter,28,21,26,Feather — Sabrina Carpenter,Sabrina Carpenter
26,2024-06-08,27,Wildflower,Billie Eilish,17,17,2,Wildflower — Billie Eilish,Billie Eilish
27,2024-06-08,28,Yeah Glo!,GloRilla,33,28,16,Yeah Glo! — GloRilla,GloRilla
28,2024-06-08,29,Ain't No Love In Oklahoma,Luke Combs,23,23,2,Ain't No Love In Oklahoma — Luke Combs,Luke Combs
29,2024-06-08,30,I Can Do It With A Broken Heart,Taylor Swift,26,3,6,I Can Do It With A Broken Heart — Taylor Swift,Taylor Swift
30,2024-06-08,31,"Good Luck, Babe!",Chappell Roan,43,31,8,"Good Luck, Babe! — Chappell Roan",Chappell Roan
31,2024-06-08,32,Gata Only,FloyyMenor X Cris Mj,46,27,11,Gata Only — FloyyMenor X Cris Mj,FloyyMenor
32,2024-06-08,33,Where It Ends,Bailey Zimmerman,35,32,22,Where It Ends — Bailey Zimmerman,Bailey Zimmerman
33,2024-06-08,34,L'amour De Ma Vie,Billie Eilish,22,22,2,L'amour De Ma Vie — Billie Eilish,Billie Eilish
34,2024-06-08,35,Greedy,Tate McRae,38,3,37,Greedy — Tate McRae,Tate McRae
35,2024-06-08,36,I Like The Way You Kiss Me,Artemas,39,12,10,I Like The Way You Kiss Me — Artemas,Artemas
36,2024-06-08,37,End Of Beginning,Djo,41,11,15,End Of Beginning — Djo,Djo
37,2024-06-08,38,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",40,2,10,"Type Shit — Future, Metro Boomin, Travis Scott & Playboi Carti",Future
38,2024-06-08,39,Wanna Be,GloRilla & Megan Thee Stallion,50,11,8,Wanna Be — GloRilla & Megan Thee Stallion,GloRilla
39,2024-06-08,40,Bulletproof,Nate Smith,44,40,8,Bulletproof — Nate Smith,Nate Smith
40,2024-06-08,41,Down Bad,Taylor Swift,30,2,6,Down Bad — Taylor Swift,Taylor Swift
41,2024-06-08,42,Agora Hills,Doja Cat,42,7,36,Agora Hills — Doja Cat,Doja Cat
42,2024-06-08,43,Slow It Down,Benson Boone,51,40,10,Slow It Down — Benson Boone,Benson Boone
43,2024-06-08,44,U My Everything,Sexyy Red & Drake,-,44,1,U My Everything — Sexyy Red & Drake,Sexyy Red
44,2024-06-08,45,One Of Wun,Gunna,37,26,3,One Of Wun — Gunna,Gunna
45,2024-06-08,46,Whatever She Wants,Bryson Tiller,49,19,15,Whatever She Wants — Bryson Tiller,Bryson Tiller
46,2024-06-08,47,Blue,Billie Eilish,25,25,2,Blue — Billie Eilish,Billie Eilish
47,2024-06-08,48,Texas Hold 'Em,Beyonce,52,1,16,Texas Hold 'Em — Beyonce,Beyonce
49,2024-06-08,50,The Greatest,Billie Eilish,24,24,2,The Greatest — Billie Eilish,Billie Eilish
50,2024-06-08,51,Stargazing,Myles Smith,79,51,3,Stargazing — Myles Smith,Myles Smith
51,2024-06-08,52,Sweet Dreams,Koe Wetzel,47,47,2,Sweet Dreams — Koe Wetzel,Koe Wetzel
52,2024-06-08,53,Skinny,Billie Eilish,18,18,2,Skinny — Billie Eilish,Billie Eilish
53,2024-06-08,54,Wild Ones,Jessie Murph & Jelly Roll,56,35,34,Wild Ones — Jessie Murph & Jelly Roll,Jessie Murph
54,2024-06-08,55,Made For Me,Muni Long,61,20,20,Made For Me — Muni Long,Muni Long
55,2024-06-08,56,Redrum,21 Savage,53,5,20,Redrum — 21 Savage,21 Savage
56,2024-06-08,57,Halfway To Hell,Jelly Roll,60,57,8,Halfway To Hell — Jelly Roll,Jelly Roll
57,2024-06-08,58,Who's Afraid Of Little Old Me?,Taylor Swift,45,9,6,Who's Afraid Of Little Old Me? — Taylor Swift,Taylor Swift
58,2024-06-08,59,Family Matters,Drake,48,7,4,Family Matters — Drake,Drake
59,2024-06-08,60,FE!N,Travis Scott Featuring Playboi Carti,62,5,30,FE!N — Travis Scott Featuring Playboi Carti,Travis Scott
