,chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
4,2024-01-06,5,A Holly Jolly Christmas,Burl Ives,5,4,39
5,2024-01-06,6,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,39
6,2024-01-06,7,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,8,7,31
7,2024-01-06,8,Feliz Navidad,Jose Feliciano,9,6,32
8,2024-01-06,9,Lovin On Me,Jack Harlow,6,1,7
9,2024-01-06,10,Sleigh Ride,The Ronettes,10,8,28
10,2024-01-06,11,Santa Tell Me,Ariana Grande,12,11,24
11,2024-01-06,12,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",11,9,44
12,2024-01-06,13,Underneath The Tree,Kelly Clarkson,13,11,27
13,2024-01-06,14,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,15,12,35
14,2024-01-06,15,Christmas (Baby Please Come Home),Darlene Love,17,15,22
15,2024-01-06,16,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,16,16,14
16,2024-01-06,17,Deck The Halls,Nat King Cole,23,16,13
17,2024-01-06,18,Blue Christmas,Elvis Presley,25,18,13
18,2024-01-06,19,Cruel Summer,Taylor Swift,18,1,34
19,2024-01-06,20,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,30,20,9
20,2024-01-06,21,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,22,21,20
21,2024-01-06,22,Run Rudolph Run,Chuck Berry,27,10,22
22,2024-01-06,23,It's Beginning To Look A Lot Like Christmas,Michael Buble,24,19,20
23,2024-01-06,24,Greedy,Tate McRae,19,7,15
24,2024-01-06,25,Little Saint Nick,The Beach Boys,31,25,8
25,2024-01-06,26,Wonderful Christmastime,Paul McCartney,36,26,13
26,2024-01-06,27,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,14,12,23
27,2024-01-06,28,Please Come Home For Christmas,Eagles,32,18,15
28,2024-01-06,29,Paint The Town Red,Doja Cat,21,1,21
29,2024-01-06,30,Santa Claus Is Comin' To Town,Jackson 5,35,30,11
30,2024-01-06,31,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,28,1,18
31,2024-01-06,32,Water,Tyla,26,10,13
32,2024-01-06,33,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,34,31,12
33,2024-01-06,34,This Christmas,Donny Hathaway,45,34,5
34,2024-01-06,35,Agora Hills,Doja Cat,29,14,14
35,2024-01-06,36,Last Night,Morgan Wallen,33,1,48
36,2024-01-06,37,Mistletoe,Justin Bieber,-,11,13
37,2024-01-06,38,Happy Holiday / The Holiday Season,Andy Williams,44,18,19
38,2024-01-06,39,Christmastime Is Here,Vince Guaraldi Trio,-,39,4
39,2024-01-06,40,Like It's Christmas,Jonas Brothers,43,40,7
40,2024-01-06,41,Have Yourself A Merry Little Christmas,Michael Buble,-,41,4
41,2024-01-06,42,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,48,38,6
42,2024-01-06,43,I Saw Mommy Kissing Santa Claus,Jackson 5,-,43,1
43,2024-01-06,44,Thinkin' Bout Me,Morgan Wallen,37,7,43
44,2024-01-06,45,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,38,16,27
45,2024-01-06,46,Merry Christmas,Ed Sheeran & Elton John,-,42,7
46,2024-01-06,47,Fast Car,Luke Combs,46,2,40
47,2024-01-06,48,Lose Control,Teddy Swims,41,39,20
48,2024-01-06,49,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,40,1,9
49,2024-01-06,50,(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,-,50,1
50,2024-01-06,51,Lil Boo Thang,Paul Russell,47,23,15
51,2024-01-06,52,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,50,11,12
52,2024-01-06,53,FTCU,Nicki Minaj,42,42,3
53,2024-01-06,54,Stick Season,Noah Kahan,53,31,13
54,2024-01-06,55,Everybody,Nicki Minaj Featuring Lil Uzi Vert,39,26,3
55,2024-01-06,56,White Horse,Chris Stapleton,52,12,23
56,2024-01-06,57,First Person Shooter,Drake Featuring J. Cole,51,1,12
57,2024-01-06,58,Used To Be Young,Miley Cyrus,54,8,18
58,2024-01-06,59,Houdini,Dua Lipa,57,11,7
59,2024-01-06,60,Good Good,"Usher, Summer Walker & 21 Savage",56,25,20
60,2024-01-06,61,World On Fire,Nate Smith,55,47,9
61,2024-01-06,62,La Diabla,Xavi,76,62,2
62,2024-01-06,63,Pretty Little Poison,Warren Zeiders,59,46,16
63,2024-01-06,64,On My Mama,Victoria Monet,62,48,15
64,2024-01-06,65,My Love Mine All Mine,Mitski,58,26,14
65,2024-01-06,66,Exes,Tate McRae,60,34,6
66,2024-01-06,67,Surround Sound,JID Featuring 21 Savage & Baby Tate,61,61,7
67,2024-01-06,68,Monaco,Bad Bunny,64,5,11
68,2024-01-06,69,Strangers,Kenya Grace,66,52,15
69,2024-01-06,70,You Broke My Heart,Drake,70,11,6
70,2024-01-06,71,Get Him Back!,Olivia Rodrigo,68,11,16
71,2024-01-06,72,IDGAF,Drake Featuring Yeat,63,2,12
72,2024-01-06,73,Harley Quinn,Fuerza Regida & Marshmello,69,40,8
73,2024-01-06,74,Wild Ones,Jessie Murph & Jelly Roll,67,42,12
74,2024-01-06,75,Bellakeo,Peso Pluma & Anitta,71,71,2
75,2024-01-06,76,Truck Bed,HARDY,72,55,28
76,2024-01-06,77,Save Me The Trouble,Dan + Shay,73,73,9
77,2024-01-06,78,Jingle Bells,Meghan Trainor,81,78,2
78,2024-01-06,79,La Victima,Xavi,91,79,2
79,2024-01-06,80,Where The Wild Things Are,Luke Combs,78,78,6
80,2024-01-06,81,Qlona,Karol G & Peso Pluma,82,28,20
81,2024-01-06,82,You're Losing Me (From The Vault),Taylor Swift,77,27,5
82,2024-01-06,83,500lbs,Lil Tecca,75,51,14
83,2024-01-06,84,The Painter,Cody Johnson,80,55,12
84,2024-01-06,85,Never Lose Me,Flo Milli,84,84,2
85,2024-01-06,86,Burn It Down,Parker McCollum,86,77,10
86,2024-01-06,87,Winter Wonderland,Chloe,96,87,2
87,2024-01-06,88,Segun Quien,Maluma & Carin Leon,89,68,13
88,2024-01-06,89,Needle,Nicki Minaj Featuring Drake,65,34,3
89,2024-01-06,90,DJ Play A Christmas Song,Cher,94,90,2
90,2024-01-06,91,Mind On You,George Birge,88,88,2
91,2024-01-06,92,Lace It,"Juice WRLD, Eminem & benny blanco",85,85,2
92,2024-01-06,93,Hey Driver,Zach Bryan Featuring The War And Treaty,92,14,18
93,2024-01-06,94,Feather,Sabrina Carpenter,90,90,4
94,2024-01-06,95,Can't Catch Me Now,Olivia Rodrigo,87,56,8
95,2024-01-06,96,El Amor de Su Vida,Grupo Frontera & Grupo Firme,-,68,16
96,2024-01-06,97,Standing Next To You,Jung Kook,79,5,8
97,2024-01-06,98,Man Made A Bar,Morgan Wallen Featuring Eric Church,-,15,14
98,2024-01-06,99,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,98,61,13
99,2024-01-06,100,Great Gatsby,Rod Wave,99,30,14
0,2024-01-13,1,Lovin On Me,Jack Harlow,9,1,8
1,2024-01-13,2,Cruel Summer,Taylor Swift,19,1,35
2,2024-01-13,3,Greedy,Tate McRae,24,3,16
3,2024-01-13,4,Paint The Town Red,Doja Cat,29,1,22
4,2024-01-13,5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,31,1,19
5,2024-01-13,6,Snooze,SZA,-,2,55
6,2024-01-13,7,Water,Tyla,32,7,14
7,2024-01-13,8,Last Night,Morgan Wallen,36,1,49
8,2024-01-13,9,Fast Car,Luke Combs,47,2,41
9,2024-01-13,10,Agora Hills,Doja Cat,35,10,15
10,2024-01-13,11,Thinkin' Bout Me,Morgan Wallen,44,7,44
11,2024-01-13,12,Lose Control,Teddy Swims,48,12,21
12,2024-01-13,13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,49,1,10
13,2024-01-13,14,Lil Boo Thang,Paul Russell,51,14,16
14,2024-01-13,15,Flowers,Miley Cyrus,-,1,46
15,2024-01-13,16,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,52,11,13
16,2024-01-13,17,FTCU,Nicki Minaj,53,17,4
17,2024-01-13,18,White Horse,Chris Stapleton,56,12,24
18,2024-01-13,19,Stick Season,Noah Kahan,54,19,14
19,2024-01-13,20,What Was I Made For?,Billie Eilish,-,14,24
20,2024-01-13,21,Vampire,Olivia Rodrigo,-,1,24
21,2024-01-13,22,Need A Favor,Jelly Roll,-,13,38
22,2024-01-13,23,Dance The Night,Dua Lipa,-,6,27
23,2024-01-13,24,Fukumean,Gunna,-,4,27
24,2024-01-13,25,World On Fire,Nate Smith,61,25,10
25,2024-01-13,26,Houdini,Dua Lipa,59,11,8
26,2024-01-13,27,Everybody,Nicki Minaj Featuring Lil Uzi Vert,55,26,4
27,2024-01-13,28,Save Me,Jelly Roll With Lainey Wilson,-,19,26
28,2024-01-13,29,First Person Shooter,Drake Featuring J. Cole,57,1,13
29,2024-01-13,30,Used To Be Young,Miley Cyrus,58,8,19
30,2024-01-13,31,Kill Bill,SZA,-,1,51
31,2024-01-13,32,Good Good,"Usher, Summer Walker & 21 Savage",60,25,21
32,2024-01-13,33,Pretty Little Poison,Warren Zeiders,63,33,17
33,2024-01-13,34,La Diabla,Xavi,62,34,3
34,2024-01-13,35,On My Mama,Victoria Monet,64,35,16
35,2024-01-13,36,Truck Bed,HARDY,76,36,29
36,2024-01-13,37,My Love Mine All Mine,Mitski,65,26,15
37,2024-01-13,38,Save Me The Trouble,Dan + Shay,77,38,10
38,2024-01-13,39,Exes,Tate McRae,66,34,7
39,2024-01-13,40,I Know ?,Travis Scott,-,11,21
40,2024-01-13,41,Wild Ones,Jessie Murph & Jelly Roll,74,41,13
41,2024-01-13,42,Strangers,Kenya Grace,69,42,16
42,2024-01-13,43,Monaco,Bad Bunny,68,5,12
43,2024-01-13,44,Surround Sound,JID Featuring 21 Savage & Baby Tate,67,44,8
44,2024-01-13,45,The Painter,Cody Johnson,84,45,13
45,2024-01-13,46,Get Him Back!,Olivia Rodrigo,71,11,17
46,2024-01-13,47,Never Lose Me,Flo Milli,85,47,3
47,2024-01-13,48,Dial Drunk,Noah Kahan With Post Malone,-,25,24
48,2024-01-13,49,Where The Wild Things Are,Luke Combs,80,49,7
49,2024-01-13,50,You Broke My Heart,Drake,70,11,7
50,2024-01-13,51,IDGAF,Drake Featuring Yeat,72,2,13
51,2024-01-13,52,Harley Quinn,Fuerza Regida & Marshmello,73,40,9
52,2024-01-13,53,Burn It Down,Parker McCollum,86,53,11
53,2024-01-13,54,Bellakeo,Peso Pluma & Anitta,75,54,3
54,2024-01-13,55,La Victima,Xavi,79,55,3
55,2024-01-13,56,Feather,Sabrina Carpenter,94,56,5
56,2024-01-13,57,500lbs,Lil Tecca,83,51,15
57,2024-01-13,58,Qlona,Karol G & Peso Pluma,81,28,21
58,2024-01-13,59,I Can Feel It,Kane Brown,-,59,1
59,2024-01-13,60,Hey Driver,Zach Bryan Featuring The War And Treaty,93,14,19
60,2024-01-13,61,You're Losing Me (From The Vault),Taylor Swift,82,27,6
61,2024-01-13,62,Mind On You,George Birge,91,62,3
62,2024-01-13,63,Can't Catch Me Now,Olivia Rodrigo,95,56,9
63,2024-01-13,64,Different 'Round Here,Riley Green Featuring Luke Combs,-,64,5
64,2024-01-13,65,Segun Quien,Maluma & Carin Leon,88,65,14
65,2024-01-13,66,Man Made A Bar,Morgan Wallen Featuring Eric Church,98,15,15
66,2024-01-13,67,El Amor de Su Vida,Grupo Frontera & Grupo Firme,96,67,17
67,2024-01-13,68,Soak City (Do It),310babii,-,68,3
68,2024-01-13,69,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",-,69,2
69,2024-01-13,70,Standing Next To You,Jung Kook,97,5,9
70,2024-01-13,71,23,Chayce Beckham,-,71,1
71,2024-01-13,72,Perro Negro,Bad Bunny & Feid,-,20,9
72,2024-01-13,73,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,-,73,3
73,2024-01-13,74,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,99,61,14
74,2024-01-13,75,Oklahoma Smokeshow,Zach Bryan,-,75,11
75,2024-01-13,76,Wondering Why,The Red Clay Strays,-,76,2
76,2024-01-13,77,Mmhmm,BigXthaPlug,-,77,2
77,2024-01-13,78,Great Gatsby,Rod Wave,100,30,15
78,2024-01-13,79,FE!N,Travis Scott Featuring Playboi Carti,-,5,10
79,2024-01-13,80,Bad Idea Right?,Olivia Rodrigo,-,7,18
80,2024-01-13,81,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",-,81,1
81,2024-01-13,82,Can't Have Mine,Dylan Scott,-,57,12
82,2024-01-13,83,Needle,Nicki Minaj Featuring Drake,89,34,4
83,2024-01-13,84,Virginia Beach,Drake,-,3,11
84,2024-01-13,85,Rich Men North Of Richmond,Oliver Anthony Music,-,1,18
85,2024-01-13,86,Northern Attitude,Noah Kahan With Hozier,-,37,5
86,2024-01-13,87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,-,2,7
87,2024-01-13,88,Lace It,"Juice WRLD, Eminem & benny blanco",92,85,3
88,2024-01-13,89,Mi Ex Tenia Razon,Karol G,-,22,15
89,2024-01-13,90,Run For The Hills,Tate McRae,-,69,3
90,2024-01-13,91,Slime You Out,Drake Featuring SZA,-,1,13
91,2024-01-13,92,Better Place,*NSYNC,-,25,5
92,2024-01-13,93,"Burn, Burn, Burn",Zach Bryan,-,93,3
93,2024-01-13,94,My Eyes,Travis Scott,-,19,5
94,2024-01-13,95,Turks & Caicos,Rod Wave Featuring 21 Savage,-,24,13
95,2024-01-13,96,Tourniquet,Zach Bryan,-,20,9
96,2024-01-13,97,Y Lloro,Junior H,-,97,2
97,2024-01-13,98,Murder On The Dancefloor,Sophie Ellis-Bextor,-,98,1
98,2024-01-13,99,Amargura,Karol G,-,85,6
99,2024-01-13,100,Wildflowers And Wild Horses,Lainey Wilson,-,100,1
0,2024-01-20,1,Lovin On Me,Jack Harlow,1,1,9
1,2024-01-20,2,Cruel Summer,Taylor Swift,2,1,36
2,2024-01-20,3,Greedy,Tate McRae,3,3,17
3,2024-01-20,4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,5,1,20
4,2024-01-20,5,Paint The Town Red,Doja Cat,4,1,23
5,2024-01-20,6,Snooze,SZA,6,2,56
6,2024-01-20,7,Water,Tyla,7,7,15
7,2024-01-20,8,Lose Control,Teddy Swims,12,8,22
8,2024-01-20,9,Agora Hills,Doja Cat,10,9,16
9,2024-01-20,10,Last Night,Morgan Wallen,8,1,50
10,2024-01-20,11,Fast Car,Luke Combs,9,2,42
11,2024-01-20,12,Thinkin' Bout Me,Morgan Wallen,11,7,45
12,2024-01-20,13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,13,1,11
13,2024-01-20,14,Stick Season,Noah Kahan,19,14,15
14,2024-01-20,15,FTCU,Nicki Minaj,17,15,5
15,2024-01-20,16,What Was I Made For?,Billie Eilish,20,14,25
16,2024-01-20,17,White Horse,Chris Stapleton,18,12,25
17,2024-01-20,18,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,16,11,14
18,2024-01-20,19,Lil Boo Thang,Paul Russell,14,14,17
19,2024-01-20,20,Flowers,Miley Cyrus,15,1,47
20,2024-01-20,21,World On Fire,Nate Smith,25,21,11
21,2024-01-20,22,La Diabla,Xavi,34,22,4
22,2024-01-20,23,Need A Favor,Jelly Roll,22,13,39
23,2024-01-20,24,Fukumean,Gunna,24,4,28
24,2024-01-20,25,Everybody,Nicki Minaj Featuring Lil Uzi Vert,27,25,5
25,2024-01-20,26,First Person Shooter,Drake Featuring J. Cole,29,1,14
26,2024-01-20,27,Vampire,Olivia Rodrigo,21,1,25
27,2024-01-20,28,Save Me,Jelly Roll With Lainey Wilson,28,19,27
28,2024-01-20,29,Houdini,Dua Lipa,26,11,9
29,2024-01-20,30,Pretty Little Poison,Warren Zeiders,33,30,18
30,2024-01-20,31,Used To Be Young,Miley Cyrus,30,8,20
31,2024-01-20,32,Dance The Night,Dua Lipa,23,6,28
32,2024-01-20,33,Kill Bill,SZA,31,1,52
33,2024-01-20,34,Good Good,"Usher, Summer Walker & 21 Savage",32,25,22
34,2024-01-20,35,My Love Mine All Mine,Mitski,37,26,16
35,2024-01-20,36,Exes,Tate McRae,39,34,8
36,2024-01-20,37,I Know ?,Travis Scott,40,11,22
37,2024-01-20,38,On My Mama,Victoria Monet,35,35,17
38,2024-01-20,39,Truck Bed,HARDY,36,36,30
39,2024-01-20,40,Surround Sound,JID Featuring 21 Savage & Baby Tate,44,40,9
40,2024-01-20,41,Wild Ones,Jessie Murph & Jelly Roll,41,41,14
41,2024-01-20,42,Never Lose Me,Flo Milli,47,42,4
42,2024-01-20,43,The Painter,Cody Johnson,45,43,14
43,2024-01-20,44,Strangers,Kenya Grace,42,42,17
44,2024-01-20,45,Save Me The Trouble,Dan + Shay,38,38,11
45,2024-01-20,46,Feather,Sabrina Carpenter,56,46,6
46,2024-01-20,47,You Broke My Heart,Drake,50,11,8
47,2024-01-20,48,Where The Wild Things Are,Luke Combs,49,48,8
48,2024-01-20,49,Monaco,Bad Bunny,43,5,13
49,2024-01-20,50,Get Him Back!,Olivia Rodrigo,46,11,18
50,2024-01-20,51,IDGAF,Drake Featuring Yeat,51,2,14
51,2024-01-20,52,Burn It Down,Parker McCollum,53,52,12
52,2024-01-20,53,Harley Quinn,Fuerza Regida & Marshmello,52,40,10
53,2024-01-20,54,Bellakeo,Peso Pluma & Anitta,54,54,4
54,2024-01-20,55,La Victima,Xavi,55,55,4
55,2024-01-20,56,500lbs,Lil Tecca,57,51,16
56,2024-01-20,57,Hey Driver,Zach Bryan Featuring The War And Treaty,60,14,20
57,2024-01-20,58,Murder On The Dancefloor,Sophie Ellis-Bextor,98,58,2
58,2024-01-20,59,I Can Feel It,Kane Brown,59,59,2
59,2024-01-20,60,Different 'Round Here,Riley Green Featuring Luke Combs,64,60,6
60,2024-01-20,61,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp",69,61,3
61,2024-01-20,62,Man Made A Bar,Morgan Wallen Featuring Eric Church,66,15,16
62,2024-01-20,63,Can't Catch Me Now,Olivia Rodrigo,63,56,10
63,2024-01-20,64,23,Chayce Beckham,71,64,2
64,2024-01-20,65,Mmhmm,BigXthaPlug,77,65,3
65,2024-01-20,66,Soak City,310babii,68,66,4
66,2024-01-20,67,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,73,67,4
67,2024-01-20,68,Segun Quien,Maluma & Carin Leon,65,65,15
68,2024-01-20,69,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,74,61,15
69,2024-01-20,70,El Amor de Su Vida,Grupo Frontera & Grupo Firme,67,67,18
70,2024-01-20,71,Wondering Why,The Red Clay Strays,76,71,3
71,2024-01-20,72,Oklahoma Smokeshow,Zach Bryan,75,72,12
72,2024-01-20,73,Mind On You,George Birge,62,62,4
73,2024-01-20,74,FE!N,Travis Scott Featuring Playboi Carti,79,5,11
74,2024-01-20,75,Perro Negro,Bad Bunny & Feid,72,20,10
75,2024-01-20,76,Standing Next To You,Jung Kook,70,5,10
76,2024-01-20,77,Act II: Date @ 8,4Batz,-,77,1
77,2024-01-20,78,Virginia Beach,Drake,84,3,12
78,2024-01-20,79,Y Lloro,Junior H,97,79,3
79,2024-01-20,80,Northern Attitude,Noah Kahan With Hozier,86,37,6
80,2024-01-20,81,Rich Men North Of Richmond,Oliver Anthony Music,85,1,19
81,2024-01-20,82,My Eyes,Travis Scott,94,19,6
82,2024-01-20,83,Great Gatsby,Rod Wave,78,30,16
83,2024-01-20,84,You're Losing Me (From The Vault),Taylor Swift,61,27,7
84,2024-01-20,85,Bad Idea Right?,Olivia Rodrigo,80,7,19
85,2024-01-20,86,Slime You Out,Drake Featuring SZA,91,1,14
86,2024-01-20,87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,87,2,8
87,2024-01-20,88,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,-,55,2
88,2024-01-20,89,Coal,Dylan Gossett,-,89,1
89,2024-01-20,90,Tourniquet,Zach Bryan,96,20,10
90,2024-01-20,91,Lace It,"Juice WRLD, Eminem & benny blanco",88,85,4
91,2024-01-20,92,Run For The Hills,Tate McRae,90,69,4
92,2024-01-20,93,Mi Ex Tenia Razon,Karol G,89,22,16
93,2024-01-20,94,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",81,81,2
94,2024-01-20,95,Can't Have Mine,Dylan Scott,82,57,13
95,2024-01-20,96,Better Place,*NSYNC,92,25,6
96,2024-01-20,97,Sabor Fresa,Fuerza Regida,-,26,16
97,2024-01-20,98,When It Comes To You,Fridayy,-,98,1
98,2024-01-20,99,Where It Ends,Bailey Zimmerman,-,32,6
99,2024-01-20,100,IDGAF,"Tee Grizzley, Mariah The Scientist & Chris Brown",-,100,1
0,2024-01-27,1,"Yes, And?",Ariana Grande,-,1,1
1,2024-01-27,2,Lovin On Me,Jack Harlow,1,1,10
2,2024-01-27,3,Cruel Summer,Taylor Swift,2,1,37
3,2024-01-27,4,Greedy,Tate McRae,3,3,18
4,2024-01-27,5,Redrum,21 Savage,-,5,1
5,2024-01-27,6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,4,1,21
6,2024-01-27,7,Paint The Town Red,Doja Cat,5,1,24
7,2024-01-27,8,Lose Control,Teddy Swims,8,8,23
8,2024-01-27,9,Snooze,SZA,6,2,57
9,2024-01-27,10,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",-,10,1
10,2024-01-27,11,Agora Hills,Doja Cat,9,9,17
11,2024-01-27,12,Water,Tyla,7,7,16
12,2024-01-27,13,Last Night,Morgan Wallen,10,1,51
13,2024-01-27,14,Thinkin' Bout Me,Morgan Wallen,12,7,46
14,2024-01-27,15,Fast Car,Luke Combs,11,2,43
15,2024-01-27,16,Stick Season,Noah Kahan,14,14,16
16,2024-01-27,17,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,13,1,12
17,2024-01-27,18,All Of Me,21 Savage,-,18,1
18,2024-01-27,19,N.H.I.E.,21 Savage & Doja Cat,-,19,1
19,2024-01-27,20,What Was I Made For?,Billie Eilish,16,14,26
20,2024-01-27,21,White Horse,Chris Stapleton,17,12,26
21,2024-01-27,22,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,18,11,15
22,2024-01-27,23,Igual Que Un Angel,Kali Uchis & Peso Pluma,-,23,1
23,2024-01-27,24,La Diabla,Xavi,22,22,5
24,2024-01-27,25,FTCU,Nicki Minaj,15,15,6
25,2024-01-27,26,Lil Boo Thang,Paul Russell,19,14,18
26,2024-01-27,27,Flowers,Miley Cyrus,20,1,48
27,2024-01-27,28,Everybody,Nicki Minaj Featuring Lil Uzi Vert,25,25,6
28,2024-01-27,29,Houdini,Dua Lipa,29,11,10
29,2024-01-27,30,World On Fire,Nate Smith,21,21,12
30,2024-01-27,31,Pop Ur Sht,"21 Savage, Young Thug & Metro Boomin",-,31,1
31,2024-01-27,32,Fukumean,Gunna,24,4,29
32,2024-01-27,33,Sneaky,21 Savage,-,33,1
33,2024-01-27,34,Need A Favor,Jelly Roll,23,13,40
34,2024-01-27,35,Dangerous,"21 Savage, Lil Durk & Metro Boomin",-,35,1
35,2024-01-27,36,Pretty Little Poison,Warren Zeiders,30,30,19
36,2024-01-27,37,Never Lose Me,Flo Milli,42,37,5
37,2024-01-27,38,First Person Shooter,Drake Featuring J. Cole,26,1,15
38,2024-01-27,39,Dance The Night,Dua Lipa,32,6,29
39,2024-01-27,40,Should've Wore A Bonnet,21 Savage & Brent Faiyaz,-,40,1
40,2024-01-27,41,Save Me,Jelly Roll With Lainey Wilson,28,19,28
41,2024-01-27,42,Vampire,Olivia Rodrigo,27,1,26
42,2024-01-27,43,Prove It,21 Savage & Summer Walker,-,43,1
43,2024-01-27,44,Wild Ones,Jessie Murph & Jelly Roll,41,41,15
44,2024-01-27,45,Used To Be Young,Miley Cyrus,31,8,21
45,2024-01-27,46,My Love Mine All Mine,Mitski,35,26,17
46,2024-01-27,47,Exes,Tate McRae,36,34,9
47,2024-01-27,48,Good Good,"Usher, Summer Walker & 21 Savage",34,25,23
48,2024-01-27,49,Truck Bed,HARDY,39,36,31
49,2024-01-27,50,Surround Sound,JID Featuring 21 Savage & Baby Tate,40,40,10
50,2024-01-27,51,On My Mama,Victoria Monet,38,35,18
51,2024-01-27,52,Where The Wild Things Are,Luke Combs,48,48,9
52,2024-01-27,53,Feather,Sabrina Carpenter,46,46,7
53,2024-01-27,54,Strangers,Kenya Grace,44,42,18
54,2024-01-27,55,La Victima,Xavi,55,55,5
55,2024-01-27,56,The Painter,Cody Johnson,43,43,15
56,2024-01-27,57,Red Sky,"21 Savage, Tommy Newport & Mikky Ekko",-,57,1
57,2024-01-27,58,Murder On The Dancefloor,Sophie Ellis-Bextor,58,58,3
58,2024-01-27,59,Letter To My Brudda,21 Savage,-,59,1
59,2024-01-27,60,Burn It Down,Parker McCollum,52,52,13
60,2024-01-27,61,Get Him Back!,Olivia Rodrigo,50,11,19
61,2024-01-27,62,Bellakeo,Peso Pluma & Anitta,54,54,5
62,2024-01-27,63,You Broke My Heart,Drake,47,11,9
63,2024-01-27,64,Monaco,Bad Bunny,49,5,14
64,2024-01-27,65,Harley Quinn,Fuerza Regida & Marshmello,53,40,11
65,2024-01-27,66,See The Real,21 Savage,-,66,1
66,2024-01-27,67,Just Like Me,"21 Savage, Burna Boy & Metro Boomin",-,67,1
67,2024-01-27,68,IDGAF,Drake Featuring Yeat,51,2,15
68,2024-01-27,69,J Christ,Lil Nas X,-,69,1
69,2024-01-27,70,Dark Days,21 Savage & Mariah The Scientist,-,70,1
70,2024-01-27,71,500lbs,Lil Tecca,56,51,17
71,2024-01-27,72,Different 'Round Here,Riley Green Featuring Luke Combs,60,60,7
72,2024-01-27,73,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp",61,61,4
73,2024-01-27,74,Man Made A Bar,Morgan Wallen Featuring Eric Church,62,15,17
74,2024-01-27,75,Soak City,310babii,66,66,5
75,2024-01-27,76,Act II: Date @ 8,4Batz,77,76,2
76,2024-01-27,77,I Can Feel It,Kane Brown,59,59,3
77,2024-01-27,78,Save Me The Trouble,Dan + Shay,45,38,12
78,2024-01-27,79,23,Chayce Beckham,64,64,3
79,2024-01-27,80,Mmhmm,BigXthaPlug,65,65,4
80,2024-01-27,81,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,67,67,5
81,2024-01-27,82,El Amor de Su Vida,Grupo Frontera & Grupo Firme,70,67,19
82,2024-01-27,83,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,69,61,16
83,2024-01-27,84,Wondering Why,The Red Clay Strays,71,71,4
84,2024-01-27,85,Can't Catch Me Now,Olivia Rodrigo,63,56,11
85,2024-01-27,86,FE!N,Travis Scott Featuring Playboi Carti,74,5,12
86,2024-01-27,87,Standing Next To You,Jung Kook,76,5,11
87,2024-01-27,88,02.02.99,That Mexican OT,-,88,1
88,2024-01-27,89,Oklahoma Smokeshow,Zach Bryan,72,72,13
89,2024-01-27,90,Y Lloro,Junior H,79,79,4
90,2024-01-27,91,Perro Negro,Bad Bunny & Feid,75,20,11
91,2024-01-27,92,Segun Quien,Maluma & Carin Leon,68,65,16
92,2024-01-27,93,Made For Me,Muni Long,-,93,1
93,2024-01-27,94,Rich Men North Of Richmond,Oliver Anthony Music,81,1,20
