,date,artist,song_id,platform,release_date,followers,following,uploads,likes,was_inserted,tt_followers_diff_12m,tt_followers_diff_6m,tt_followers_diff_3m,tt_followers_diff_1m,tt_likes_diff_12m,tt_likes_diff_6m,tt_likes_diff_3m,tt_likes_diff_1m,tt_followers_diff_daily,tt_likes_diff_daily,tt_uploads_diff_daily
8879,2024-10-21,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5126.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8880,2024-10-22,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5126.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8881,2024-10-23,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5129.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8882,2024-10-24,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5130.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8883,2024-10-25,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5132.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8884,2024-10-26,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5132.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8885,2024-10-27,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5132.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8886,2024-10-28,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5132.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8887,2024-10-29,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5133.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8888,2024-10-30,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5136.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8889,2024-10-31,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5136.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8890,2024-11-01,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5137.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8891,2024-11-02,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5138.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8892,2024-11-03,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5139.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8893,2024-11-04,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5143.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8894,2024-11-05,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5143.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8895,2024-11-06,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5143.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8896,2024-11-07,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5143.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8897,2024-11-08,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5147.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8898,2024-11-09,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8899,2024-11-10,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8900,2024-11-11,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8901,2024-11-12,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8902,2024-11-13,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8903,2024-11-14,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8904,2024-11-15,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8905,2024-11-16,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8906,2024-11-17,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8907,2024-11-18,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5153.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8908,2024-11-19,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8909,2024-11-20,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5152.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8910,2024-11-21,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5153.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8911,2024-11-22,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,,,1000000000.0,True,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8912,2024-11-23,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5153.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,
8913,2024-11-24,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5153.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8914,2024-11-25,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5153.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8915,2024-11-26,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5153.0,1801.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,20.0
8916,2024-11-27,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5153.0,1801.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8917,2024-11-28,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16400000.0,5154.0,1801.0,1000000000.0,False,,,100000.0,100000.0,,,0.0,0.0,100000.0,0.0,0.0
8918,2024-11-29,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16400000.0,5154.0,1802.0,1000000000.0,False,,,100000.0,100000.0,,,0.0,0.0,0.0,0.0,1.0
