artist,ig_handle,tt_handle,yt_handle,has_ig,has_tt,has_yt,has_social_media
Moneybagg Yo,moneybaggyo,moneybaggyo,@MoneyBaggYoOfficial,True,True,True,True
Sleepy Hallow,_sleepyhallow_,sleepyhallowx3,@SleepyHallow,True,True,True,True
Calvin Harris,calvinharris,calvinharris,@CalvinHarris,True,True,True,True
Nicky Youre,nickyyoure,nickyyoure,@NickyYoure,True,True,True,True
Hitkidd,hitkidd,,@HitkiddWIDM,True,False,True,True
Keith Urban,keithurban,keithurban,@KeithUrban,True,True,True,True
Jon Pardi,jonpardi,jonpardi,@JonPardi,True,True,True,True
Tim McGraw,thetimmcgraw,timmcgraw,@timmcgraw,True,True,True,True
Stephen Sanchez,stephensanchezofficial,stephensanchezofficial,@stephensanchezofficial,True,True,True,True
Polo G,polo.capalot,pologofficial,@polog,True,True,True,True
Doja Cat,dojacat,dojacat,@dojacat,True,True,True,True
Shakira,shakira,shakira,@Shakira,True,True,True,True
Joji,sushitrash,joji,@joji,True,True,True,True
BTS,bts.bighitofficial,bts_official_bighit,@BTS,True,True,True,True
Pharrell Williams,pharrell,pharrell,@Pharrell,True,True,True,True
Halsey,iamhalsey,halsey,@halsey,True,True,True,True
OneRepublic,onerepublic,onerepublic,@OneRepublic,True,True,True,True
Tyler Hubbard,tylerhubbard,tylerhubbard,@TylerHubbardOfficial,True,True,True,True
Dylan Scott,dylanscottcountry,dylanscottcountry,@DylanScottCountry,True,True,True,True
Drake,champagnepapi,,@DrakeOfficial,True,False,True,True
Beyonce,beyonce,beyonce,@beyonce,True,True,True,True
Corey Kent,coreykent,coreykent,@CoreyKentofficial,True,True,True,True
Lil Nas X,lilnasx,lilnasx,@lilnasx,True,True,True,True
Eminem,eminem,eminem,@eminem,True,True,True,True
Cardi B,iamcardib,iamcardib,@cardib,True,True,True,True
Metallica,metallica,metallica,@metallica,True,True,True,True
Jelly Roll,jellyroll615,officialjellyroll,@JellyRoll,True,True,True,True
City Girls,citygirls,citygirls,@CityGirls,True,True,True,True
Ingrid Andress,ingridandress,ingridandress,@IngridAndress,True,True,True,True
Luke Bryan,lukebryan,lukebryan,@lukebryan,True,True,True,True
j-hope,uarmyhope,iamurhope,,True,True,False,True
Marshmello,marshmello,marshmello,@marshmello,True,True,True,True
Jake Owen,jakeowenofficial,jakeowen,@jakeowen,True,True,True,True
Sia,siamusic,sia,@sia,True,True,True,True
Steve Lacy,steve.lacy,steve.lacy,@stevelacy119,True,True,True,True
Brent Faiyaz,brentfaiyaz,brentfaiyaz,@thebrentfaiyaz,True,True,True,True
Yung Gravy,yunggravy,yunggravy,@yunggravy,True,True,True,True
Burna Boy,burnaboygram,burnaboyofficial,@BurnaBoy,True,True,True,True
Mitchell Tenpenny,m10penny,m10penny,@m10penny,True,True,True,True
Tems,temsbaby,temsbaby,@temsbaby,True,True,True,True
Chris Young,chrisyoungmusic,chrisyoungmusic,@ChrisYoung,True,True,True,True
Gabby Barrett,gabbybarrett_,gabbybarrettofficial,@gabbybarrett,True,True,True,True
Billie Eilish,billieeilish,billieeilish,@BillieEilish,True,True,True,True
John Rich,johnrichofficial,officialjohnrich_,@johnrichmusic,True,True,True,True
Justin Moore,justincolemoore,justinmoore,@justinmoore,True,True,True,True
Mac Miller,macmiller,,@macmiller,True,False,True,True
Bizarrap,bizarrap,bizarrap,@Bizarrap,True,True,True,True
NAV,nav,nav,@NAV,True,True,True,True
Jax,jax,jaxwritessongs,@jaxwritessongs,True,True,True,True
Nardo Wick,nardowick,nardowick,@NardoWick,True,True,True,True
DJ Khaled,djkhaled,djkhaled,@DJKhaledOfficial,True,True,True,True
benny blanco,itsbennyblanco,itsbennyblanco,@bennyblanco,True,True,True,True
Trippie Redd,trippieredd,trippieatplay,@trippieredd5093,True,True,True,True
Rosalia,rosalia.vt,rosalia,@rosalia,True,True,True,True
Jordan Davis,jordandavisofficial,jordandavismusic,@jordandavisofficial,True,True,True,True
BLACKPINK,blackpinkofficial,bp_tiktok,@BLACKPINK,True,True,True,True
Offset,offsetyrn,offsetyrn,@OFFSETYRN,True,True,True,True
Jackson Dean,thejacksondean,thejacksondean,@TheJacksonDean,True,True,True,True
Thomas Rhett,thomasrhettakins,thomasrhett,@thomasrhettmusic,True,True,True,True
Demi Lovato,ddlovato,ddlovato,@demilovato,True,True,True,True
Rosa Linn,rosalinnmusic,rosalinnmusic,@rosalinn,True,True,True,True
Lee Brice,leebrice,leebrice,@LeeBriceMusic,True,True,True,True
Manuel Turizo,manuelturizo,manuelturizoz,@ManuelTurizoMTZ,True,True,True,True
Elton John,eltonjohn,eltonjohn,@EltonJohn,True,True,True,True
JVKE,itsjvke,jvke,@JVKE,True,True,True,True
David Guetta,davidguetta,davidguetta,@davidguetta,True,True,True,True
d4vd,d4vddd,d4vdd,@d4vd,True,True,True,True
Rema,heisrema,badboyrema,@heisrema,True,True,True,True
Armani White,armaniblanco,armaniblanco,@ArmaniWhite,True,True,True,True
Romeo Santos,romeosantos,romeosantos,@romeo,True,True,True,True
Ghost,thebandghost,thebandghost,@thebandGhost,True,True,True,True
Omar Apollo,omar.apollo,omar.apollo,@OmarApollo,True,True,True,True
Little Big Town,littlebigtown,littlebigtown,@littlebigtown,True,True,True,True
EST Gee,est.gee,est.gee,@ESTGee,True,True,True,True
GloRilla,glorillapimp,glorilla03,@theofficialGloRilla,True,True,True,True
Zac Brown Band,zacbrownband,zacbrownband,@zacbrownband,True,True,True,True
AJR,ajrbrothers,ajrbrothers,@ajr,True,True,True,True
Grupo Frontera,grupofrontera,grupofrontera,@GrupoFronteraOficial,True,True,True,True
Jimmie Allen,jimmieallen,jimmieallenmusic,@jimmieallen,True,True,True,True
Megan Moroney,megmoroney,megmoroney,@meganmoroney,True,True,True,True
Diddy,diddy,diddy,@diddy,True,True,True,True
Lewis Capaldi,lewiscapaldi,lewiscapaldi,@LewisCapaldi,True,True,True,True
Lil Yachty,lilyachty,lilyachty,@lilyachty,True,True,True,True
Blink-182,blink182,blink182,@blink182,True,True,True,True
Lil Uzi Vert,liluzivert,liluzivert,@LILUZIVERT,True,True,True,True
Meghan Trainor,meghantrainor,meghantrainor,@MeghanTrainor,True,True,True,True
Oliver Tree,olivertree,olivertree,@OliverTree,True,True,True,True
Rihanna,badgalriri,rihanna,@rihanna,True,True,True,True
SZA,sza,sza,@sza,True,True,True,True
Jin,jin,,,True,False,False,True
21 Savage,21savage,21savage,@21savage,True,True,True,True
Selena Gomez,selenagomez,selenagomez,@selenagomez,True,True,True,True
Lainey Wilson,laineywilson,laineywilson,@LaineyWilson,True,True,True,True
Metro Boomin,metroboomin,metroboomin,@metroboomin,True,True,True,True
Arcangel,arcangel,arcangel,@Arcangel,True,True,True,True
RM,rkive,,,True,False,False,True
RAYE,raye,raye,@RAYEofficial,True,True,True,True
A Boogie Wit da Hoodie,aboogievsartist,artisthbtl,@ABoogieWitdaHoodie,True,True,True,True
Pentatonix,ptxofficial,pentatonix,@PTXofficial,True,True,True,True
Nengo Flow,nengoflowofficial,nengoflow.official,@nengoflow,True,True,True,True
Carin Leon,carinleonoficial,carinleonoficial,@carinleonoficial,True,True,True,True
