,song_id,main_artist,main_artist_ig,main_artist_yt,main_artist_tt
109,Nail Tech — Jack Harlow,Jack Harlow,jackharlow,@JackHarlow,missionaryjack
110,Ahhh Ha — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
111,Banking On Me — Gunna,Gunna,gunna,@GunnaOfficial,gunna
112,Poppin — Yeat,Yeat,yeat,@yeatmusic3280,
113,Pray — Jessie Murph,Jessie Murph,jessiemurphhh,@JessieMurph,jessiemurphhh
114,Give Heaven Some Hell — HARDY,HARDY,hardy,@HARDYmusic,hardy
115,Freaky Deaky — Tyga X Doja Cat,Tyga,tyga,@TygaTygaTV,tyga
116,I'm Tired — Labrinth & Zendaya,Labrinth,labrinth,@labrinth,labrinth
117,I Hate YoungBoy — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
118,Usain Boo — Kodak Black,Kodak Black,kodakblack,@KodakBlack,kodakblack
119,I Wish — Kodak Black,Kodak Black,kodakblack,@KodakBlack,kodakblack
120,To The Moon! — JNR CHOI & Sam Tompkins,JNR CHOI,jnrchoi,@JNRCHOI,jnrchoi
121,Rocking A Cardigan In Atlanta — Lil Shordie Scott,Lil Shordie Scott,shordiescott,@lilshordiescott,
122,Bam Bam — Camila Cabello Featuring Ed Sheeran,Camila Cabello,camila_cabello,@camilacabello,camilacabello
123,Handsomer — Russ Featuring Ktlyn,Russ,russ,@russ,russ
124,Publicity Stunt — Gucci Mane,Gucci Mane,laflare1017,@guccimane,icedaddy1017
125,War — King Von,King Von,kingvonfrmdao,@kingvon8062,kingvonfrmdao1
126,Ay! — Machine Gun Kelly & Lil Wayne,Machine Gun Kelly,machinegunkelly,@mgk,mgk
127,Neighborhood Superstar — DaBaby & YoungBoy Never Broke Again,DaBaby,dababy,@dababy,dababy
128,Facetime — King Von Featuring G Herbo,King Von,kingvonfrmdao,@kingvon8062,kingvonfrmdao1
129,Straight To It — King Von Featuring Fivio Foreign,King Von,kingvonfrmdao,@kingvon8062,kingvonfrmdao1
130,Evil Twins — King Von & Lil Durk,King Von,kingvonfrmdao,@kingvon8062,kingvonfrmdao1
131,Trust Nothing — King Von Featuring Moneybagg Yo,King Von,kingvonfrmdao,@kingvon8062,kingvonfrmdao1
132,Sweetest Pie — Megan Thee Stallion & Dua Lipa,Megan Thee Stallion,theestallion,@megantheestallion,theestallion
133,What Happened To Virgil — Lil Durk Featuring Gunna,Lil Durk,lildurk,@LilDurk,lildurk
134,Petty Too — Lil Durk Featuring Future,Lil Durk,lildurk,@LilDurk,lildurk
135,No Interviews — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
136,Golden Child — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
137,Thinking With My Dick — Kevin Gates Featuring Juicy J,Kevin Gates,iamkevingates,@kevingatesTV,iamkevingates
138,Something In The Way — Nirvana,Nirvana,,@nirvana,
139,Barbarian — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
140,Shootout @ My Crib — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
141,Started From — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
142,Headtaps — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
143,Smoking & Thinking — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
144,Grow Up/Keep It On Speaker — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
145,Blocklist — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
146,Difference Is — Lil Durk Featuring Summer Walker,Lil Durk,lildurk,@LilDurk,lildurk
147,Federal Nightmares — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
148,Bones — Imagine Dragons,Imagine Dragons,imaginedragons,@ImagineDragons,imaginedragons
